Date,CLOSE
2017-05-31,341.01
2017-06-01,340.37
2017-06-02,339.85
2017-06-05,347.32
2017-06-06,352.85
2017-06-07,359.65
2017-06-08,370.0
2017-06-09,357.32
2017-06-12,359.01
2017-06-13,375.95
2017-06-14,380.66
2017-06-15,375.34
2017-06-16,371.4
2017-06-19,369.8
2017-06-20,372.24
2017-06-21,376.4
2017-06-22,382.61
2017-06-23,383.45
2017-06-26,377.49
2017-06-27,362.37
2017-06-28,371.24
2017-06-29,360.75
2017-06-30,361.61
2017-07-03,352.62
2017-07-05,327.09
2017-07-06,308.83
2017-07-07,313.22
2017-07-10,316.05
2017-07-11,327.22
2017-07-12,329.52
2017-07-13,323.41
2017-07-14,327.78
2017-07-17,319.57
2017-07-18,328.24
2017-07-19,325.26
2017-07-20,329.92
2017-07-21,328.4
2017-07-24,342.52
2017-07-25,339.6
2017-07-26,343.85
2017-07-27,334.46
2017-07-28,335.07
2017-07-31,323.47
2017-08-01,319.57
2017-08-02,325.89
2017-08-03,347.09
2017-08-04,356.91
2017-08-07,355.17
2017-08-08,365.22
2017-08-09,363.53
2017-08-10,355.4
2017-08-11,357.87
2017-08-14,363.8
2017-08-15,362.33
2017-08-16,362.91
2017-08-17,351.92
2017-08-18,347.46
2017-08-21,337.86
2017-08-22,341.35
2017-08-23,352.77
2017-08-24,352.93
2017-08-25,348.05
2017-08-28,345.66
2017-08-29,347.36
2017-08-30,353.18
2017-08-31,355.9
2017-09-01,355.4
2017-09-05,349.59
2017-09-06,344.53
2017-09-07,350.61
2017-09-08,343.4
2017-09-11,363.69
2017-09-12,362.75
2017-09-13,366.23
2017-09-14,377.64
2017-09-15,379.81
2017-09-18,385.0
2017-09-19,375.1
2017-09-20,373.91
2017-09-21,366.48
2017-09-22,351.09
2017-09-25,344.99
2017-09-26,345.25
2017-09-27,340.97
2017-09-28,339.6
2017-09-29,341.1
2017-10-02,341.53
2017-10-03,348.14
2017-10-04,355.01
2017-10-05,355.33
2017-10-06,356.88
2017-10-09,342.94
2017-10-10,355.59
2017-10-11,354.6
2017-10-12,355.68
2017-10-13,355.57
2017-10-16,350.6
2017-10-17,355.75
2017-10-18,359.65
2017-10-19,351.81
2017-10-20,345.1
2017-10-23,337.02
2017-10-24,337.34
2017-10-25,325.84
2017-10-26,326.17
2017-10-27,320.87
2017-10-30,320.08
2017-10-31,331.53
2017-11-01,321.08
2017-11-02,299.26
2017-11-03,306.09
2017-11-06,302.78
2017-11-07,306.05
2017-11-08,304.39
2017-11-09,302.99
2017-11-10,302.99
2017-11-13,315.4
2017-11-14,308.7
2017-11-15,311.3
2017-11-16,312.5
2017-11-17,315.05
2017-11-20,308.74
2017-11-21,317.81
2017-11-22,312.6
2017-11-24,315.55
2017-11-27,316.81
2017-11-28,317.55
2017-11-29,307.54
2017-11-30,308.85
2017-12-01,306.53
2017-12-04,305.2
2017-12-05,303.7
2017-12-06,313.26
2017-12-07,311.24
2017-12-08,315.13
2017-12-11,328.91
2017-12-12,341.03
2017-12-13,339.03
2017-12-14,337.89
2017-12-15,343.45
2017-12-18,338.87
2017-12-19,331.1
2017-12-20,328.98
2017-12-21,331.66
2017-12-22,325.2
2017-12-26,317.29
2017-12-27,311.64
2017-12-28,315.36
2017-12-29,311.35
2018-01-02,320.53
2018-01-03,317.25
2018-01-04,314.62
2018-01-05,316.58
2018-01-08,336.41
2018-01-09,333.69
2018-01-10,334.8
2018-01-11,337.95
2018-01-12,336.22
2018-01-16,340.06
2018-01-17,347.16
2018-01-18,344.57
2018-01-19,350.02
2018-01-22,351.56
2018-01-23,352.79
2018-01-24,345.89
2018-01-25,337.64
2018-01-26,342.85
2018-01-29,349.53
2018-01-30,345.82
2018-01-31,354.31
2018-02-01,349.25
2018-02-02,343.75
2018-02-05,333.13
2018-02-06,333.97
2018-02-07,345.0
2018-02-08,315.23
2018-02-09,310.42
2018-02-12,315.73
2018-02-13,323.66
2018-02-14,322.31
2018-02-15,334.065
2018-02-16,335.49
2018-02-20,334.77
2018-02-21,333.3
2018-02-22,346.17
2018-02-23,352.05
2018-02-26,357.42
2018-02-27,350.99
2018-02-28,343.06
2018-03-01,330.93
2018-03-02,335.12
2018-03-05,333.35
2018-03-06,328.2
2018-03-07,332.3
2018-03-08,329.1
2018-03-09,327.17
2018-03-12,345.51
2018-03-13,341.84
2018-03-14,326.63
2018-03-15,325.6
2018-03-16,321.35
2018-03-19,313.56
2018-03-20,310.55
2018-03-21,316.53
2018-03-22,309.1
2018-03-23,301.54
2018-03-26,304.18
2018-03-27,279.18
2018-03-28,257.78
2018-03-29,266.13
2018-04-02,252.48
2018-04-03,267.53
2018-04-04,286.94
2018-04-05,305.72
2018-04-06,299.3
2018-04-09,289.66
2018-04-10,304.7
2018-04-11,300.93
2018-04-12,294.08
2018-04-13,300.34
2018-04-16,291.21
2018-04-17,287.69
2018-04-18,293.35
2018-04-19,300.08
2018-04-20,290.24
2018-04-23,283.37
2018-04-24,283.46
2018-04-25,280.69
2018-04-26,285.48
2018-04-27,294.075
2018-04-30,293.9
2018-05-01,299.92
2018-05-02,301.15
2018-05-03,284.45
2018-05-04,294.09
2018-05-07,302.77
2018-05-08,301.97
2018-05-09,306.85
2018-05-10,305.02
2018-05-11,301.06
2018-05-14,291.97
2018-05-15,284.18
2018-05-16,286.48
2018-05-17,284.54
2018-05-18,276.82
2018-05-21,284.49
2018-05-22,275.01
2018-05-23,279.07
2018-05-24,277.85
2018-05-25,278.85
2018-05-29,283.76
2018-05-30,291.72
2018-05-31,284.73
2018-06-01,291.82
2018-06-04,296.74
2018-06-05,291.13
2018-06-06,319.5
2018-06-07,316.09
2018-06-08,317.66
2018-06-11,332.1
2018-06-12,342.77
2018-06-13,344.78
2018-06-14,357.72
2018-06-15,358.17
2018-06-18,370.83
2018-06-19,352.55
2018-06-20,362.22
2018-06-21,347.51
2018-06-22,333.63
2018-06-25,333.01
2018-06-26,342.0
2018-06-27,344.5
2018-06-28,349.93
2018-06-29,342.95
2018-07-02,335.07
2018-07-03,310.86
2018-07-05,309.16
2018-07-06,308.9
2018-07-09,318.51
2018-07-10,322.47
2018-07-11,318.96
2018-07-12,316.71
2018-07-13,318.87
2018-07-16,310.1
2018-07-17,322.69
2018-07-18,323.85
2018-07-19,320.23
2018-07-20,313.58
2018-07-23,303.2
2018-07-24,297.43
2018-07-25,308.74
2018-07-26,306.65
2018-07-27,297.18
2018-07-30,290.17
2018-07-31,298.14
2018-08-01,300.84
2018-08-02,349.54
2018-08-03,348.17
2018-08-06,341.99
2018-08-07,379.57
2018-08-08,370.34
2018-08-09,352.45
2018-08-10,355.49
2018-08-13,356.41
2018-08-14,347.64
2018-08-15,338.69
2018-08-16,335.45
2018-08-17,305.5
2018-08-20,308.44
2018-08-21,321.9
2018-08-22,321.64
2018-08-23,320.1
2018-08-24,322.82
2018-08-27,319.27
2018-08-28,311.86
2018-08-29,305.01
2018-08-30,303.15
2018-08-31,301.66
2018-09-04,288.95
2018-09-05,280.74
2018-09-06,280.95
2018-09-07,263.24
2018-09-10,285.5
2018-09-11,279.44
2018-09-12,290.54
2018-09-13,289.46
2018-09-14,295.2
2018-09-17,294.84
2018-09-18,284.96
2018-09-19,299.02
2018-09-20,298.33
2018-09-21,299.1
2018-09-24,299.68
2018-09-25,300.99
2018-09-26,309.58
2018-09-27,307.52
2018-09-28,264.77
2018-10-01,310.7
2018-10-02,301.02
2018-10-03,294.8
2018-10-04,281.83
2018-10-05,261.95
2018-10-08,250.56
2018-10-09,262.8
2018-10-10,256.88
2018-10-11,252.23
2018-10-12,258.78
2018-10-15,259.59
2018-10-16,276.59
2018-10-17,271.78
2018-10-18,263.91
2018-10-19,260.0
2018-10-22,260.95
2018-10-23,294.14
2018-10-24,288.5
2018-10-25,314.86
2018-10-26,330.9
2018-10-29,334.85
2018-10-30,329.9
2018-10-31,337.32
